seq,time,pos_press,neg_press,act_pos_ref,act_neg_ref,pos_ctrl,neg_ctrl,act_pos_press,act_neg_press,act_pos_ctrl1,act_pos_ctrl2,act_neg_ctrl1,act_neg_ctrl2,angle,angle_reference,angular_vel,flowrate1,flowrate2,flowrate3,flowrate4,flowrate5,flowrate6
73,1.4403700828552246,138.4333038330078,42.101253509521484,101.325,0.0,1.0,1.0,101.830322265625,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.286699295043945,17.23892593383789,0.002682209014892578,0.0,-0.04992485046386719,-0.07585883140563965
74,1.4603502750396729,138.329833984375,42.11486053466797,101.325,0.0,1.0,1.0,101.56949615478516,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.294363975524902,17.248451232910156,0.002682209014892578,0.0,-0.05034804344177246,-0.07567405700683594
75,1.480363368988037,138.4330596923828,42.13658142089844,101.325,0.0,1.0,1.0,101.40069580078125,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.30202865600586,17.257976531982422,0.002682209014892578,0.0,-0.0502467155456543,-0.07606744766235352
76,1.5003676414489746,138.3291015625,42.112632751464844,101.325,0.0,1.0,1.0,101.77775573730469,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.311673164367676,17.269969940185547,0.002682209014892578,0.0,-0.05039572715759277,-0.07609128952026367
77,1.5203659534454346,138.18869018554688,42.14143371582031,101.325,0.0,1.0,1.0,101.64305114746094,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.317419052124023,17.277097702026367,0.002682209014892578,0.0,-0.050574541091918945,-0.07649660110473633
78,1.5403361320495605,138.30694580078125,42.10838317871094,101.325,0.0,1.0,1.0,101.68930053710938,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.325024604797363,17.286563873291016,0.002682209014892578,0.0,-0.05077719688415527,-0.07656216621398926
79,1.5603413581848145,138.40135192871094,42.127994537353516,101.325,0.0,1.0,1.0,101.67213439941406,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.33268928527832,17.296100616455078,0.002682209014892578,0.0,-0.050824880599975586,-0.07653236389160156
80,1.5803520679473877,138.4412841796875,42.136688232421875,101.325,0.0,1.0,1.0,101.47746276855469,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.340414047241211,17.305683135986328,0.002682209014892578,0.0,-0.05123019218444824,-0.07684826850891113
81,1.6003272533416748,138.22218322753906,42.15601348876953,101.325,0.0,1.0,1.0,101.38329315185547,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.348079681396484,17.31521987915039,0.002682209014892578,0.0,-0.05123615264892578,-0.07659196853637695
82,1.620307445526123,138.17581176757812,42.154014587402344,101.325,0.0,1.0,1.0,101.56258392333984,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.355745315551758,17.324745178222656,0.002682209014892578,0.0,-0.05126595497131348,-0.07637143135070801
83,1.6403772830963135,138.33184814453125,42.133907318115234,101.325,0.0,1.0,1.0,101.83521270751953,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.363409996032715,17.334270477294922,0.002682209014892578,0.0,-0.05141496658325195,-0.07603168487548828
84,1.6603515148162842,138.44378662109375,42.12981414794922,101.325,0.0,1.0,1.0,101.62432861328125,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.371074676513672,17.343807220458984,0.002682209014892578,0.0,-0.05120038986206055,-0.07622838020324707
85,1.6802680492401123,138.3874053955078,42.14871597290039,101.325,0.0,1.0,1.0,101.3056869506836,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.378751754760742,17.35333251953125,0.002682209014892578,0.0,-0.05131363868713379,-0.07631182670593262
86,1.7003357410430908,138.26414489746094,42.181392669677734,101.325,0.0,1.0,1.0,101.29602813720703,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.386417388916016,17.362857818603516,0.002682209014892578,0.0,-0.051212310791015625,-0.07628798484802246
87,1.7203338146209717,138.35867309570312,42.174747467041016,101.325,0.0,1.0,1.0,101.52240753173828,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.394083023071289,17.37238121032715,0.002682209014892578,0.0,-0.051212310791015625,-0.07638931274414062
88,1.740342378616333,138.3620147705078,42.160926818847656,101.325,0.0,1.0,1.0,101.74938201904297,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.401747703552246,17.38191795349121,0.002682209014892578,0.0,-0.05110502243041992,-0.07635951042175293
89,1.7603373527526855,138.40003967285156,42.151763916015625,101.325,0.0,1.0,1.0,101.677978515625,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.409412384033203,17.391443252563477,0.002682209014892578,0.0,-0.05086660385131836,-0.07647275924682617
90,1.780310869216919,138.3720245361328,42.178466796875,101.325,0.0,1.0,1.0,101.27767181396484,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.417078018188477,17.400968551635742,0.002682209014892578,0.0,-0.05104541778564453,-0.07676482200622559
91,1.8003323078155518,138.30108642578125,42.18865203857422,101.325,0.0,1.0,1.0,101.23081970214844,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.42474365234375,17.410505294799805,0.002682209014892578,0.0,-0.05123615264892578,-0.0769495964050293
92,1.820338249206543,138.48956298828125,42.16717529296875,101.325,0.0,1.0,1.0,101.60382843017578,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.432408332824707,17.420028686523438,0.002682209014892578,0.0,-0.05124807357788086,-0.07731914520263672
